learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.10000,0.000,10,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.30,
0.10000,0.000,10, 1024,10, 16.53, 99.03,  8.37, 15.44, 16.77, 98.89,  8.38, 15.45,0.30, 0.34,
0.10000,0.000,10, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.31,
0.10000,0.000,10, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.32,
0.10000,0.000,10, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.28, 0.30,
0.10000,0.000,10, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.32,
0.10000,0.000,10, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.28, 0.32,
0.10000,0.000,20,  512,10, 92.31,  0.42, 50.00,  0.83, 92.31,  0.00,  0.00,  0.00,0.58, 0.62,
0.10000,0.000,20,  512,15, 87.54, 25.21, 22.43, 23.74, 87.23, 24.51, 21.31, 22.80,0.58, 0.64,
0.10000,0.000,20,  512,20, 91.89,  8.64, 38.04, 14.07, 92.04, 10.31, 42.77, 16.61,0.59, 0.61,
0.10000,0.000,20, 1024,10, 77.46, 56.82, 18.53, 27.95, 78.50, 57.24, 19.47, 29.06,0.57, 0.71,
0.10000,0.000,20, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.58, 0.91,
0.10000,0.000,20, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.59, 1.21,
0.10000,0.000,20, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.56, 1.23,
0.10000,0.000,20, 2056,15, 68.57, 55.85, 13.29, 21.47, 68.85, 56.69, 13.55, 21.88,0.56, 1.25,
0.10000,0.000,20, 2056,20, 68.57, 55.85, 13.29, 21.47, 68.85, 56.69, 13.55, 21.88,0.59, 1.28,
0.10000,0.000,50,  512,10, 88.32, 28.55, 26.21, 27.33, 88.12, 27.58, 25.16, 26.31,1.42, 1.74,
0.10000,0.000,50,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.42, 1.54,
0.10000,0.000,50,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.42, 1.54,
0.10000,0.000,50, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.41, 1.50,
0.10000,0.000,50, 1024,15, 51.98, 96.24, 13.43, 23.57, 52.68, 96.24, 13.60, 23.84,1.41, 1.50,
0.10000,0.000,50, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.41, 1.53,
0.10000,0.000,50, 2056,10, 92.45, 16.02, 53.00, 24.60, 92.68, 17.41, 58.14, 26.80,1.39, 1.82,
0.10000,0.000,50, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.41, 1.51,
0.10000,0.000,50, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,1.40, 1.51,
0.01000,0.100, 5,  512,10,  7.69,100.00,  7.69, 14.29,  7.69,100.00,  7.69, 14.29,0.10, 0.11,
0.01000,0.100, 5,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.19,
0.01000,0.100, 5,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.17, 0.18,
0.01000,0.100, 5, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.15,
0.01000,0.100, 5, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.13, 0.15,
0.01000,0.100, 5, 1024,20,  9.20, 99.86,  7.80, 14.47,  9.34, 99.58,  7.79, 14.46,0.16, 0.19,
0.01000,0.100, 5, 2056,10, 13.58, 99.86,  8.16, 15.09, 14.13, 99.58,  8.19, 15.14,0.14, 0.16,
0.01000,0.100, 5, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.18,
0.01000,0.100, 5, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.17, 0.19,
0.01000,0.100,10,  512,10,  7.69,100.00,  7.69, 14.29,  7.69,100.00,  7.69, 14.29,0.10, 0.10,
0.01000,0.100,10,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.32,
0.01000,0.100,10,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.31, 0.36,
0.01000,0.100,10, 1024,10, 12.87, 99.72,  8.09, 14.97, 12.99, 99.58,  8.09, 14.97,0.31, 0.33,
0.01000,0.100,10, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.13, 0.15,
0.01000,0.100,10, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.30,
0.01000,0.100,10, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.33,
0.01000,0.100,10, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.20, 0.21,
0.01000,0.100,10, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.18, 0.22,
0.01000,0.100,20,  512,10,  7.69,100.00,  7.69, 14.29,  7.69,100.00,  7.69, 14.29,0.10, 0.11,
0.01000,0.100,20,  512,15, 84.66, 31.20, 19.28, 23.83, 84.49, 31.06, 18.96, 23.55,0.46, 0.49,
0.01000,0.100,20,  512,20, 71.31, 66.99, 16.46, 26.43, 71.62, 67.27, 16.67, 26.72,0.51, 0.57,
0.01000,0.100,20, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.59, 0.62,
0.01000,0.100,20, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.13, 0.16,
0.01000,0.100,20, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.31,
0.01000,0.100,20, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.57, 0.61,
0.01000,0.100,20, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.20, 0.21,
0.01000,0.100,20, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.18, 0.22,
0.01000,0.100,50,  512,10,  7.69,100.00,  7.69, 14.29,  7.69,100.00,  7.69, 14.29,0.10, 0.11,
